Run_ID,Peak_Mult,Steepness,Base_Lift,Avg_Profit,Num_Sims
1,3.0,8.0,0.1,2711.11,100
2,3.0,8.0,0.2,4269.16,100
3,3.0,8.0,0.3,6857.21,100
4,3.0,10.0,0.1,876.85,100
5,3.0,10.0,0.2,2357.65,100
6,3.0,10.0,0.3,197.88,100
7,3.0,12.0,0.1,746.06,100
8,3.0,12.0,0.2,377.03,100
9,3.0,12.0,0.3,117.1,100
10,4.0,8.0,0.1,0.0,100
11,4.0,8.0,0.2,931.51,100
12,4.0,8.0,0.3,3854.09,100
13,4.0,10.0,0.1,2489.21,100
14,4.0,10.0,0.2,2973.47,100
15,4.0,10.0,0.3,2414.19,100
16,4.0,12.0,0.1,116.8,100
17,4.0,12.0,0.2,826.63,100
18,4.0,12.0,0.3,1948.74,100
19,5.0,8.0,0.1,1900.32,100
20,5.0,8.0,0.2,1465.65,100
21,5.0,8.0,0.3,1141.19,100
22,5.0,10.0,0.1,2827.07,100
23,5.0,10.0,0.2,2430.3,100
24,5.0,10.0,0.3,58.2,100
25,5.0,12.0,0.1,191.02,100
26,5.0,12.0,0.2,2224.06,100
27,5.0,12.0,0.3,4493.26,100
28,6.0,8.0,0.1,3083.91,100
29,6.0,8.0,0.2,6682.55,100
30,6.0,8.0,0.3,2398.17,100
31,6.0,10.0,0.1,360.57,100
32,6.0,10.0,0.2,1406.48,100
33,6.0,10.0,0.3,2379.4,100
34,6.0,12.0,0.1,100.47,100
35,6.0,12.0,0.2,231.4,100
36,6.0,12.0,0.3,4493.77,100
